Date,Open,High,Low,Close,Adj Close,Volume
7/12/21,3744,3757.290039,3696.790039,3718.550049,3718.550049,2571600
7/13/21,3702.100098,3773.080078,3671.320068,3677.360107,3677.360107,3845900
7/14/21,3708.850098,3717.659912,3660.830078,3681.679932,3681.679932,3296600
7/15/21,3694.199951,3695.399902,3620.919922,3631.199951,3631.199951,3185300
7/16/21,3633.310059,3646.060059,3570.459961,3573.629883,3573.629883,4043700
7/19/21,3532.580078,3550.209961,3499.159912,3549.590088,3549.590088,3784600
7/20/21,3567.320068,3592,3518,3573.189941,3573.189941,3255700
7/21/21,3576.379883,3586.449951,3543.639893,3585.199951,3585.199951,2319000
7/22/21,3587.22998,3640.02002,3582.27002,3638.030029,3638.030029,3265400
7/23/21,3640,3666.110107,3622.040039,3656.639893,3656.639893,2436300
7/26/21,3673.169922,3712.080078,3647.25,3699.820068,3699.820068,2900100
7/27/21,3698.5,3698.5,3586.149902,3626.389893,3626.389893,4131900
7/28/21,3633.780029,3658.419922,3601,3630.320068,3630.320068,2999400
7/29/21,3627.75,3637.949951,3580.01001,3599.919922,3599.919922,5520000
7/30/21,3347.949951,3368.139893,3306.97998,3327.590088,3327.590088,9965600
8/2/21,3353.100098,3358.919922,3317,3331.47998,3331.47998,3353900
8/3/21,3340.719971,3391,3299.77002,3366.23999,3366.23999,4157300
8/4/21,3379.350098,3388.879883,3345.560059,3354.719971,3354.719971,2183900
8/5/21,3356.219971,3389,3340.919922,3375.98999,3375.98999,2433500
8/6/21,3375,3375,3329.040039,3344.939941,3344.939941,2637600
8/9/21,3343.610107,3354.879883,3328.52002,3341.870117,3341.870117,2148200
8/10/21,3345.01001,3358,3315,3320.679932,3320.679932,2412600
8/11/21,3331.449951,3337.699951,3277.790039,3292.110107,3292.110107,2947200
8/12/21,3290,3314.51001,3269.669922,3303.5,3303.5,2314100
8/13/21,3305.669922,3306.070068,3283,3293.969971,3293.969971,2056700
8/16/21,3283,3300,3211.129883,3298.98999,3298.98999,3319700
8/17/21,3277.5,3280.48999,3225.679932,3241.959961,3241.959961,3387900
8/18/21,3241.98999,3254.100098,3200,3201.219971,3201.219971,2804300
8/19/21,3194.02002,3233,3182.459961,3187.75,3187.75,3782900
